        T              Rev             ST             Date            Time              X               Y               Z              Vx              Vy              Vz              Xg              Yg              Zg               A               E               W               i             Node            Long             Lat      
 0.000000E+0000               0  3.575248E+0002        19/03/24        12:00:00  7.162199E+0003  0.000000E+0000  0.000000E+0000  0.000000E+0000 -1.109544E+0000  7.377145E+0000  7.153724E+0003  3.479107E+0002  1.678783E+0001  7.162199E+0003  0.000000E+0000  0.000000E+0000  9.855334E+0001  0.000000E+0000  2.784301E+0000  1.342985E-0001 
 1.000000E+0000               0  3.577754E+0002        19/03/24        12:01:00  7.148199E+0003 -6.652932E+0001  4.423394E+0002 -4.665239E-0001 -1.107377E+0000  7.362685E+0000  7.143097E+0003  2.494616E+0002  4.590906E+0002  7.162124E+0003  8.137337E-0005  9.920736E+0001  9.855340E+0001  2.561321E-0006  2.000154E+0000  3.675138E+0000 
 2.000000E+0000               0  3.580261E+0002        19/03/24        12:02:00  7.106253E+0003 -1.327987E+0002  8.829450E+0002 -9.312077E-0001 -1.100882E+0000  7.319367E+0000  7.103817E+0003  1.502603E+0002  8.995940E+0002  7.161909E+0003  1.638724E-0004  1.078751E+0002  9.855355E+0001  1.683905E-0005  1.211743E+0000  7.215656E+0000 
 3.000000E+0000               0  3.582768E+0002        19/03/24        12:03:00  7.036527E+0003 -1.985491E+0002  1.320090E+0003 -1.392220E+0000 -1.090083E+0000  7.247367E+0000  7.036033E+0003  5.094281E+0001  1.336572E+0003  7.161557E+0003  2.484139E-0004  1.164079E+0002  9.855378E+0001  5.359768E-0005  4.148300E-0001  1.075553E+0001 
 4.000000E+0000               0  3.585275E+0002        19/03/24        12:04:00  6.939297E+0003 -2.635234E+0002  1.752061E+0003 -1.847743E+0000 -1.075024E+0000  7.146974E+0000  6.940013E+0003 -4.785630E+0001  1.768311E+0003  7.161075E+0003  3.357229E-0004  1.247549E+0002  9.855408E+0001  1.228159E-0004 -3.950887E-0001  1.429443E+0001 
 5.000000E+0000               0  3.587782E+0002        19/03/24        12:05:00  6.814944E+0003 -3.274680E+0002  2.177167E+0003 -2.295986E+0000 -1.055766E+0000  7.018590E+0000  6.816142E+0003 -1.455073E+0002  2.193122E+0003  7.160468E+0003  4.262688E-0004  1.328782E+0002  9.855446E+0001  2.340555E-0004 -1.222934E+0000  1.783199E+0001 
 6.000000E+0000               0  3.590289E+0002        19/03/24        12:06:00  6.663959E+0003 -3.901329E+0002  2.593742E+0003 -2.735186E+0000 -1.032386E+0000  6.862730E+0000  6.664918E+0003 -2.413890E+0002  2.609340E+0003  7.159748E+0003  5.202276E-0004  1.407533E+0002  9.855491E+0001  3.962586E-0004 -2.074223E+0000  2.136778E+0001 
 7.000000E+0000               0  3.592795E+0002        19/03/24        12:07:00  6.486937E+0003 -4.512736E+0002  3.000157E+0003 -3.163619E+0000 -1.004976E+0000  6.680018E+0000  6.486951E+0003 -3.348919E+0002  3.015336E+0003  7.158925E+0003  6.174702E-0004  1.483680E+0002  9.855542E+0001  6.175682E-0004 -2.955298E+0000  2.490133E+0001 
 8.000000E+0000               0  3.595302E+0002        19/03/24        12:08:00  6.284574E+0003 -5.106516E+0002  3.394822E+0003 -3.579607E+0000 -9.736460E-0001  6.471184E+0000  6.282962E+0003 -4.254219E+0002  3.409523E+0003  7.158012E+0003  7.175698E-0004  1.557203E+0002  9.855598E+0001  9.052223E-0004 -3.873608E+0000  2.843209E+0001 
 9.000000E+0000               0  3.597809E+0002        19/03/24        12:09:00  6.057665E+0003 -5.680352E+0002  3.776193E+0003 -3.981522E+0000 -9.385209E-0001  6.237060E+0000  6.053778E+0003 -5.124034E+0002  3.790360E+0003  7.157024E+0003  8.198268E-0004  1.628164E+0002  9.855658E+0001  1.265434E-0003 -4.838093E+0000  3.195938E+0001 
 1.000000E+0001               0  3.159896E-0002        19/03/24        12:10:00  5.807104E+0003 -6.232010E+0002  4.142782E+0003 -4.367796E+0000 -8.997400E-0001  5.978579E+0000  5.800328E+0003 -5.952823E+0002  4.156358E+0003  7.155975E+0003  9.233023E-0004  1.696677E+0002  9.855722E+0001  1.703295E-0003 -5.859697E+0000  3.548236E+0001 
